paper_id,first_author,publication_year,title,publication,period,game_primary,franchise,er_code,er_confidence,kf_primary,kf_coprimary,nc_level,abstract_accessed,indigenous_paper,pokemon_cluster,irr_sample,training_set,coder_notes
Shelomi2019,Shelomi,2019,Entomoludology: Arthropods in Video Games,American Entomologist,2016-2019,,None,,,,,,N,N,Y,,,
Thomas2019,Thomas,2019,You’re an oegopsid now: the phylogeny of squid kids from the future,Journal of Geek Studies,2016-2019,,None,,,,,,N,N,Y,,,
vanOoijen2019,van Ooijen,2019,"Hunting, Killing, Crafting: On the Use of Animals in Open World Games",Human IT,2016-2019,,None,,,,,,N,N,N,,,
Amadori2020,Amadori,2020,Video Games for Environmental Communication: Raising Awareness through Sandbox Games and Streamers,Comunicazioni sociali,2020-2022,,None,,,,,,N,N,N,,,
Attebery2020,Attebery,2020,"Oil, Water, Lightning: Indigenous Posthumanism and Energy Futures in Elizabeth LaPensée's Thunderbird Strike",American Quarterly,2020-2022,,NeverAlone-Thunderbird,,,,,,N,Y,N,,,
Butucea2020,Butucea,2020,Gaming as Everything. Challenging the Anthropocene through Nomadic Performativity,Nordic Threatre Studies,2020-2022,,None,,,,,,N,N,N,,,
Chang2020,Chang,2020,Rambunctious Games: A Manifesto for Environmental Game Design,Art Journal,2020-2022,,None,,,,,,N,N,N,,,
Cole2020,Cole,2020,Games and the Environment,Games as Texts: A Practical Application of Textual Analysis to Games,2020-2022,,None,,,,,,N,N,N,,,
Comerford2020,Comerford,2020,"Coconuts, Custom-Play & COVID-19: Social Isolation, Serious Leisure and Personas in Animal Crossing: New Horizons",Persona Studies,2020-2022,,AnimalCrossing,,,,,,N,N,N,Y,,
Condis2020,Condis,2020,"Sorry, Wrong Apocalypse: Horizon Zero Dawn, Heaven’s Vault, and the Ecocritical Videogame",The international journal of computer game research,2020-2022,,Horizon,,,,,,N,N,N,,,
Darnov2020,Darnov,2020,What Happens When Gamers Become (Digital) Geoengineers?,Edge Effects,2020-2022,,None,,,,,,N,N,N,,,
Felczak2020,Felczak,2020,"Ludic guilt, paidian joy: Killing and ecocriticism in the theHunter series",Journal of Gaming & Virtual Worlds,2020-2022,,None,,,,,,N,N,N,,,
Fuchs2020,Fuchs,2020,Playing (With) the Non-human: The Animal Avatar in Bear Simulator,Outside the Anthropological Machine: Crossing the Human-Animal Divide and Other Exit Strategies,2020-2022,,None,,,,,,N,N,N,,,
Galloway2020,Galloway,2020,Soundwalking and the Aurality of Stardew Valley: An Ethnography of Listening to and Interacting with Environmental Game Audio,Music in the Role-Playing Game: Heroes & Harmonies,2020-2022,,StardewValley,,,,,,N,N,N,Y,,
Goulart2020,Goulart,2020,As plantas carnívoras e cactos Caryophyllales em Pokémon um olhar a partir da Botânica Cultural,A Bruxa,2020-2022,,Pokémon,,,,,,N,N,Y,Y,,
Graça2020,Graça,2020,Poké-aves: a diversidade ornitológica como referência para a franquia Pokémon,A Bruxa,2020-2022,,Pokémon,,,,,,N,N,Y,Y,,
Hobbs2020a,Hobbs,2020,"Exploring Coral Reef Conservation in ""Minecraft""",Primary Science,2020-2022,,Minecraft,,,,,,N,N,N,,,
Hobbs2020b,Hobbs,2020,"A collaborative, user-based approach to developing science-communication resources using Minecraft",Social Science Review,2020-2022,,Minecraft,,,,,,N,N,N,,,
LeVaillant2020,Le Vaillant,2020,What’s your favourite Pokémon? Pocket monster popularity reflects interest in real-world Biology,Journal of Geek Studies,2020-2022,,Pokémon,,,,,,N,N,Y,Y,,
