first_author,publication_year,title,publication
"LaPensée",2018,"Thunderbird Strike: Survivance in/of an Indie Indigenous Game","Video Game Art Reader: Volume 2"
"Lee",2024,"What Could Be Worse Than Death? Untangling Entangled Existence in The Last of Us (2013)","The Neutral: Graduate Journal of Cinema and Media Studies"
"Lehner",2017,"Videogames as Cultural Ecology: Flower and Shadow of the Colossus","Ecozon@"
"Lehner",2018,"A Short Theory of Ecocritical Metagames: Shadow of the Colossus and Everything","Paidia - Journal for Computer Game Research"
"Lemonnier",2015,"Écofiction au sein de l'univers Pokémon: des observations aux applications serious d'un jeu vidéo","Jeunes et Médias, Les Cahiers francophones de l''éducation aux médias-n° 7-été 2015: Les jeux vidéo: détournements, usages créatifs et enjeux pédagogiques"
"Lin",2020,"Motivating Learning by Playing Animal Crossing New Horizons: A Trending Game during the COVID-19 Pandemic","eLearn Magazine"
"Nelson",2016,"Colliders with Context: Trees in First Person Shooter Computer Games","The Philosophy of Computer Games Conference, Malta 2016"
"Loring",2023,"""Uncanny, Monstrous, and Sublime"": ecoGothic Transformations in Horror Video Games","Aeternum: The Journal of Contemporary Gothic Studies"
"Loring",2024,"Redefining the Monstrous-Feminine: Applying a Postfeminist (Eco) Gothic Reading to Horror Video Games","dissertation"
"Loydell",2022,"The Non-Human: Agency, Play and the Anthropocene","dissertation"
"Lund",2019,"Birding Like It’s 1899: Inside a Blockbuster American West Video Game","Audubon"
"Lupton",2017,"Pokémon in the Midst: Collecting and Using Data from within the Pokémon GO Ecosystem to Facilitate Ecology and Wildlife Biology Education","The American Biology Teacher"
"Marchal",2023,"An Environmentalists' Economy: Why Positive Game Economies Appeal to the Modern Gamer","North Texas Journal of Undergraduate Research"
"Newman",2019,"Fungal Zombies and Tentacular Thinking: The Cthonic Mother in the Game The Last of Us","Studies in the Fantastic"
"Marín-Rubio",2023,"El videojuego como herramienta en el método utópico para entrenar la imaginación crítica","dissertation"
"Marqués",2018,"Ecological Videogames as a Means to Raise Environmental Awareness","Proceedings of 1st International Conference on Transdisciplinary Studies in Arts, Technology and Society, ARTeFACTo 2018"
"Martin",2024,"Playing to Understand the Environment: From Superficial Skins to Truly Ecological Gameplays","Video Games and Environmental Humanities: Playing to Save The World"
"May",2021,"Confronting Ecological Monstrosity: Contemporary Video Game Monsters and the Climate Crisis","M/C Journal"
"May",2024,"Apocalypse as practice: Labour, technology and environment in Death Stranding","Journal of Gaming & Virtual Worlds"
"May",2024,"Dark Entanglement and Visions of the Post-Anthropocene in Battlefield 2042","Journal of Games Criticism"
"May",2024,"Undead Ecosystems: Death Stranding and the Contemporary Video-Game Zombie","End-Game: Apocalyptic Video Games, Contemporary Society, and Digital Media Culture"
"Mckeown",2018,"Videogame Ecologies: Interaction, Aesthetics, Affect","dissertation"
"McKinney",2015,"Trouble in paradise: Viva Piñata, charismatic megafauna and the sour side of gaming with animals","Journal of Gaming & Virtual Worlds"
"Medrala",2020,"By Your Powers Combined: Heroic Solutions To Climate Catastrophes In The Fifth Season, Avengers: Infinity War, And Horizon: Zero Dawn","dissertation"
"Mejeur",2024,"Burning Closets and Nights in the Woods: Queer Environments and Ecological Alliances in Video Games","Regeneration: Environment, Art, Culture"
"Meloche",2017,"Playing in the Digital Qargi: Iñupiat Gaming and Isuma in Kisima Inŋitchuŋa","Transmotion"
"Milburn",2016,"“THERE AIN’T NO GETTIN’ OFFA THIS TRAIN”: Final Fantasy VII and the Pwning of Environmental Crisis","Sustainable Media: Critical Approaches to Media and Environment"
"Milburn",2024,"Mutate or Die: Neo-Lamarckian Ecogames and Responsible Evolution","Ecogames: Playful Perspectives on the Climate Crisis"
"Milesi",2022,"Posthumanism and Digital Gaming","Palgrave Handbook of Critical Posthumanism"
"Miner",2022,"Critical Protocols in Indigenous Gamespace","Games and Culture"
"Minnen",2025,"Dangerous Collection: The Decolonization of Victorian Botany in Strange Horticulture","unpublished"
"Molloy",2011,"Hunted: Recreational Killing","Popular Media and Animals"
"Moore",2024,"Auroral Heliotropes of the Anthropocene and Wandering the “Quiet Apocalypse” of The Long Dark (2017)","Video Games and Environmental Humanities: Playing to Save The World"
"Morey",2020,"Hyperanimals: Inverting Nature Through Pokémon Go","ISLE: Interdisciplinary Studies in Literature and Environment"
"Nijtmans",2022,"The Inevitable Fate of the “Dragonborn:” Selling Player Agency in The Elder Scrolls","Video Games and Spatiality in American Studies"
"Murray",2024,"Postcoloniality, Ecocriticism and Lessons from the Playable Landscape","Ecogames: Playful Perspectives on the Climate Crisis"
"Morrow",2024,"Wilderness Ecologies in Red Dead Redemption 2 and Horizon Zero Dawn","Video Games and Environmental Humanities: Playing to Save The World"
"Mukherjee",2024,"No Cyclones in Age of Empires: Empire, Ecology, and Video Games","Ecogames: Playful Perspectives on the Climate Crisis"
"Nae",2020,"Beyond Cultural Identity: A Critique of Horizon: Zero Dawn as an Entrepreneurial Ecosystem Simulator","Postmodern Openings"
"Navarro-Remesal",2017,"Videojuego y Ecología: Nuevas formas deconcienciación","Presura"
"Navarro-Remesal",2024,"Healing a Life out of Balance: Slowness and Ecosophy in Death Stranding","Ecogames: Playful Perspectives on the Climate Crisis"
"O'Krent",2021,"Welcome to the Field: Cultural Capital for Videogames and the Ecofeminist Position-Taking of Horizon Zero Dawn","Journal of World Literature"
"op de Beke",2021,"Pastoral Videogames: Industry, Entropy, Elegy","Ecocene: Cappadocia Journal of Environmental Humanities"
"op de Beke",2022,"Griefing the Climate Apocalypse in Eco","First Person Scholar"
"op de Beke",2024,"Ecogames: An Introduction","Ecogames: Playful Perspectives on the Climate Crisis"
"Opel",2004,"Zootycoon: Capitalism, Nature, and the Pursuit of Happiness","Ethics & the Environment"
"Özgü",2024,"From Arthurian Narratives to MMORPGs: Towards an Ethics of Virtual Ecologies","folklor/edebiyat"
"Parham",2015,"Green Computer Games: To Play is to Inhabit","Green media and popular culture: an introduction"
"Patterson",2019,"Playing for the Planet: How video games can deliver for people and the environment","Playing for the Planet: How video games can deliver for people and the environment"
"Pérez-Latorre",2019,"Post-apocalyptic Games, Heroism and the Great Recession","The international journal of computer game research"
"Piano",2024,"Greening Vvanderfell. An Ecocritical Retrospective on The Elder Scrolls III: Morrowind","Proceedings of DiGRA 2024"
"Pinder",2024,"Monstrous Gatekeepers – Eco-gothic Bodies in Video Games","Monsters and Monstrosity in Media: Reflections on Vulnerability"
"Poole",2020,"""Eco this and recycle that"": an ecolinguistic analysis of a popular digital simulation game","Critical Discourse Studies"
"Pratama",2021,"Mono-no-Aware Game Design Aesthetic for Ecological Empathy: The Case of “Ghost of Tsushima” the Video Game","3rd International Conference on Biospheric Harmony Advanced Research (ICOBAR) 2021"
"Pratique",2016,"De la nature dans le jeu vidéo, esthétiques environnementales","dissertation"
"Quirk",2021,"Island Time in Lockdown: Animal Crossing: New Horizons’ Slow Culture and Its Shinto Source","Journal of Religion, Media and Digital Culture"
"Rivera-Dundas",2017,"Ecocritical Engagement in a Pixelated World","Ecozon@"
"Ross",2024,"Using Video Games and Play to Tell Climate Stories","Communicating Climate: How to Transmit Your Climate Message and Avoid Greenwashing"
"Ruffino",2024,"Videogames, the Anthropocene, and Other Problems of Scale: Methodological Notes for the Study of Digital Games in Times of Ecological Crisis","Journal of Games Criticism"
"Salvador",2017,"The Unexplored Potential of Video Games for Animal Conservation","Tentacle"
"Salvador",2023,"An unexpected bird in Honkai: Star Rail and China’s war on sparrows","Journal of Geek Studies"
"Sandbrook",2015,"Digital Games and Biodiversity Conservation","Conservation Letters"
"Santry",2019,"Pokémon and the Environment","The Augmented Reality of Pokémon Go: Chronotopes, Moral Panic, and Other Complexities"
"Sawers",2010,"All the animals are gone? The politics of contemporary hunter arcade games","Continuum: Journal of Media & Cultural Studies"
"Silva",2023,"Narratives of environmental crisis in Chrono Cross: settler colonialism, inter-species conflicts, and environmental injustice","preprint"
"Seller",2022,"Ugly Death: Rotting with the More-than-human in The Last of Us Part II (2020)","Revenant: Critical and Creative Studies of the Supernatural"
"Seller",2023,"Boring Lizards: Ludic Management, Affect and Ambivalence","Cinergie: Il Cinema E Le Altre Arti"
"Seller",2024,"Hiding (in) the Tall Grass: Rethinking Background Assets in Video Game Plantscapes","Ecogames: Playful Perspectives on the Climate Crisis"
"Sellers",2019,"Pixelated Frontiers: Videogames and the Sublimation of Nature","dissertation"
"Seranda",2021,"The Obligatory Underwater Level: Posthuman Genealogy of Amphibian Human in Media","Corpus Mundi"
"Shah",2022,"Using the Metaverse to Connect and Protect the Natural World","Stanford Social Innovation Review"
"Silk",2021,"The implications of digital visual media for human-nature relationships","People and Nature"
"Silva Aprile",2024,"Gamificação como metodologia ativa no ensino sobre fungos: uma análise a partir das experiências em Baldur's Gate 3 e The Last of Us","A Bruxa"
"Sindelar",2021,"From petishism to rewilding: Representations of wildlife in interactive media","Journal of Environmental Media"
"Smith",2017,"Resources, Scenarios, Agency: Environmental Computer Games","Ecozon@"
"Smith",2022,"Commentary: Colonialist Values in Animal Crossing and Their Implications for Conservation","Highlights of Sustainability"
"Stokes",2024,"Ecological Precarity and Techno-Utopianism in the Soundscapes of The Legend of Zelda: Breath of the Wild","Music and Sonic Environments in Video Games: Listening to and Performing Ludic Soundscapes"
"Stumpo",2008,"E-cology: Everquest and the Environment(s)","Interdisciplinary Studies in Literature and Environment"
"Emmerich",2024,"Playing for a Better Future: How Animal Avatars Influence the Attitude of Players","Proceedings of the ACM on Human-Computer Interaction"
"Swanstrom",2016,"Animal, Vegetable, Digital: Experiments in New Media Aesthetics and Environmental Poetics","Animal, Vegetable, Digital: Experiments in New Media Aesthetics and Environmental Poetics"
"Sykes",2017,"‘Those Chosen by the Planet’: Final Fantasy VII and Earth Jurisprudence","International Journal for the Semiotics of Law"
"Thibault",2022,"Forests in Digital Games-An Ecocritical Framework","FDG '22: Proceedings of the 17th International Conference on the Foundations of Digital Games"
"Torres",2024,"Animal Agency. Colapso, encuadres morales e incomunicabilidad en el videojuego ecológico","Hipertext.net"
"Tregonning",2021,"Balancing Act: Playing Video Game Ecologies","Performance of the Real"
"Ulman",2001,"Beyond Nature/Writing: Virtual Landscapes Online, in Print, and in ‘Real Life.’","Beyond nature writing: expanding the boundaries of ecocriticism"
"UNEP",2020,"Playing for the Planet Annual Impact Report 2020","Playing for the Planet Annual Impact Report 2020"
